,name,sys.country,coord.lat,coord.lon,main.temp_max,main.humidity,wind.speed,clouds.all
143,Te Anau,NZ,-45.41,167.72,56.59,79,4.14,0
144,Roberval,CA,48.51,-72.22,37.4,74,3.36,75
145,Bayan,MN,47.25,107.54,22.84,59,3.36,12
146,Terrace,CA,54.52,-128.61,44.6,45,5.82,75
147,Hambantota,LK,6.12,81.12,78.95,100,4.14,0
148,Poum,MK,41.28,20.71,18.83,82,1.79,0
149,Tambovka,UA,46.93,35.45,32.56,86,6.15,64
150,Kununurra,AU,-15.77,128.74,87.8,52,10.29,80
151,Betare Oya,CM,5.6,14.08,69.95,90,5.59,0
152,Aswan,EG,24.09,32.9,78.8,26,17.22,0
153,Lebu,ET,8.96,38.73,57.2,62,6.93,0
154,Impfondo,CD,1.62,18.06,70.63,96,2.68,8
155,Dauphin,CA,51.15,-100.04,17.6,67,20.8,1
156,Otradnyy,RU,53.38,51.35,23.29,91,10.18,76
157,Roseto degli Abruzzi,IT,42.68,14.01,44.6,93,2.24,0
158,Sao Filipe,CV,14.9,-24.5,69.55,100,15.99,8
159,Tiksi,RU,71.64,128.87,-4.12,51,3.47,8
160,Saint-Paul,FR,45.22,1.9,43.86,93,9.17,75
161,Inuvik,CA,68.36,-133.71,3.97,46,12.75,5
162,Cape Town,ZA,-33.93,18.42,62.6,93,4.7,20
163,Lucapa,AO,-8.42,20.74,66.08,100,3.8,88
164,Cayenne,GF,4.94,-52.33,78.8,78,6.93,0
165,Alofi,NU,-19.06,-169.92,79.99,100,7.72,56
166,Kamenka,RU,53.19,44.05,17.03,89,4.92,56
167,Mpika,ZM,-11.84,31.4,64.06,90,7.16,56
168,Bonavista,CA,48.65,-53.11,32.33,90,5.7,56
169,Pacific Grove,US,36.62,-121.92,70.83,63,4.7,1
170,Port Blair,IN,11.67,92.75,82.73,100,5.14,12
171,Souillac,FR,45.6,-0.6,44.6,93,4.7,0
172,Avera,US,33.19,-82.53,73.04,56,4.7,1
173,Iqaluit,CA,63.75,-68.52,8.6,42,5.82,75
174,Hualmay,PE,-11.1,-77.61,69.41,77,3.91,32
175,Quang Ngai,VN,15.12,108.8,67.03,85,2.91,0
176,Ancud,CL,-41.87,-73.83,52.27,89,3.58,44
177,Fort Nelson,CA,58.81,-122.69,21.2,67,8.05,75
178,Padang,ID,-0.92,100.36,81.61,100,6.26,36
179,Iranshahr,IR,27.21,60.69,73.4,11,9.17,0
180,Rio Grande,BR,-32.03,-52.1,71.21,95,6.93,48
181,Boueni,YT,-12.9,45.08,78.8,94,3.36,44
182,Los Cedrales,PY,-25.66,-54.72,72.86,100,4.7,75
183,Qaqortoq,GL,60.72,-46.03,26.6,49,5.82,12
184,Krasnyy Chikoy,RU,50.36,108.75,22.93,66,2.35,0
185,Xiuyan,CN,40.29,123.27,45.79,35,12.19,0
186,Walvis Bay,NA,-22.95,14.51,62.6,82,4.7,88
187,Victoria,BN,5.28,115.24,77.0,100,5.14,75
188,Mindelo,PT,41.31,-8.72,47.37,87,1.12,20
189,Tommot,RU,58.97,126.27,21.22,62,7.16,0
190,Mahebourg,MU,-20.41,57.7,73.4,94,2.24,40
191,Lensk,RU,60.71,114.91,29.32,79,11.41,88
192,Vila do Maio,CV,15.13,-23.22,69.8,73,14.99,20
193,Dakar,SN,14.69,-17.45,66.2,100,9.17,0
194,Hofn,IS,64.25,-15.21,39.31,100,11.63,92
195,Nguru,NG,12.88,10.45,73.6,21,9.84,0
196,Nishihara,JP,35.74,139.53,61.59,48,4.14,1
197,Nikolskoye,RU,59.7,30.79,23.0,92,4.47,75
198,Kaitangata,NZ,-46.28,169.85,59.15,96,3.69,0
199,Saint George,GR,39.45,22.34,41.0,80,6.93,20
200,Portland,US,45.52,-122.67,56.07,47,8.05,75
201,Onverwacht,SR,5.59,-55.2,79.74,78,9.17,0
202,Klaksvik,FO,62.23,-6.59,39.2,86,21.92,92
203,Saint Anthony,US,43.97,-111.68,46.42,21,10.18,1
204,San Andres,PH,13.32,122.68,78.5,100,12.97,12
205,Tura,IN,25.52,90.21,63.11,95,4.7,20
206,Rio Gallegos,AR,-51.62,-69.22,44.6,48,26.4,20
207,Anadyr,RU,64.73,177.51,6.8,84,8.95,0
208,Whitefish,US,48.41,-114.33,48.2,34,11.41,75
209,Brest,BY,52.09,23.69,26.53,92,11.41,80
210,Gat,SN,14.69,-16.54,73.4,69,6.93,0
211,Bambanglipuro,ID,-7.95,110.28,73.69,100,4.03,100
212,Bulgan,MN,48.81,103.53,30.22,65,4.7,68
213,Menongue,AO,-14.66,17.68,63.11,95,2.24,76
214,Salym,RU,60.06,71.48,18.56,83,7.94,88
215,Cidreira,BR,-30.17,-50.22,69.68,95,4.7,48
216,Zhangye,CN,38.94,100.46,41.92,68,9.73,20
217,Darya Khan,PK,31.78,71.1,63.38,66,2.68,0
218,Norman,US,35.22,-97.44,59.59,72,6.93,75
219,Alihe,CN,50.57,123.73,28.33,41,4.59,0
220,Coronado,PA,8.53,-79.9,82.4,65,12.75,20
221,Pangnirtung,CA,66.15,-65.72,17.3,83,17.0,88
222,Kaeo,NZ,-35.1,173.78,72.43,68,6.04,44
223,Darhan,MN,49.49,105.92,28.01,65,4.7,44
224,Nerchinskiy Zavod,RU,51.31,119.61,26.71,46,4.92,0
225,Guerrero Negro,MX,27.97,-114.04,75.49,28,12.97,0
226,Valley,GB,53.28,-4.56,44.53,95,9.73,56
227,Kruisfontein,ZA,-34.0,24.73,63.83,93,5.59,80
228,Gilgit,PK,35.92,74.31,21.35,92,0.22,0
229,Bathsheba,BB,13.22,-59.52,78.8,83,11.41,75
230,Fukuchiyama,JP,35.32,135.12,59.31,62,5.82,0
231,Flinders,AU,-34.58,150.85,71.6,68,1.12,0
232,Saint-Georges,CA,46.12,-70.67,31.16,91,2.46,0
233,Ferzikovo,RU,54.52,36.76,3.26,64,5.14,0
234,Redlands,US,34.06,-117.19,77.81,14,13.87,5
